mention,entity_type,start,end,source_file,entity_id,kb_name,kb_type,link_score,normalized_entity,disambiguation_confidence,disambiguation_method,source
Ethel Sara Stoney,PER,5223,5240,input.txt,E_PER_ETHEL,Ethel Sara Stoney,PER,0.739556,Ethel Sara Stoney,0.739556,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,5253,5255,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
英国首相戈登·布朗,PER,5318,5327,input.txt,E_PER_BROWN,戈登·布朗,PER,0.671268,戈登·布朗,0.671268,char_tfidf_surface+context_rerank,kb_dict
每日电讯报,ORG,5329,5334,input.txt,E_ORG_DT,每日电讯报,ORG,0.668726,每日电讯报,0.668726,char_tfidf_surface+context_rerank,kb_dict
英国政府,ORG,5340,5344,input.txt,E_ORG_GOV_UK,英国政府,ORG,0.679056,英国政府,0.679056,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,5356,5358,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,5375,5377,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
英国政府,ORG,5415,5419,input.txt,E_ORG_GOV_UK,英国政府,ORG,0.679056,英国政府,0.679056,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,5421,5423,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
英国,LOC,5436,5438,input.txt,E_LOC_UK,英国,LOC,0.671863,英国,0.671863,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,5466,5468,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,5480,5482,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,ner
图灵,PER,5515,5517,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,ner
英国司法部,ORG,5670,5675,input.txt,E_ORG_MOJ_UK,英国司法部,ORG,0.673686,英国司法部,0.673686,char_tfidf_surface+context_rerank,kb_dict
英国,LOC,5677,5679,input.txt,E_LOC_UK,英国,LOC,0.671863,英国,0.671863,char_tfidf_surface+context_rerank,kb_dict
伊丽莎白二世,PER,5681,5687,input.txt,E_PER_ELIZABETH2,伊丽莎白二世,PER,0.67216,伊丽莎白二世,0.67216,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,5707,5709,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,5732,5734,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,5771,5773,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,ner
英国,LOC,5777,5779,input.txt,E_LOC_UK,英国,LOC,0.671863,英国,0.671863,char_tfidf_surface+context_rerank,kb_dict
英国政府,ORG,5803,5807,input.txt,E_ORG_GOV_UK,英国政府,ORG,0.679056,英国政府,0.679056,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,5817,5819,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
艾伦·图灵法案,PROD,5842,5849,input.txt,E_PROD_TURING_ACT,艾伦·图灵法案,PROD,0.698415,艾伦·图灵法案,0.698415,char_tfidf_surface+context_rerank,kb_dict
